Season,Player,Matches_Bowled,Balls_Bowled,Wickets_Taken,Runs_Conceded,Overs_Bowled,Bowling_Average,Economy_Rate,Strike_Rate
2022,R Sanjay Yadav,1,14,0,2,2.2,0.0,0.8571428571428571,0.0
2022,R Shepherd,3,57,4,5,9.3,1.25,0.5263157894736842,14.25
2022,R Tewatia,5,36,1,0,6.0,0.0,0.0,36.0
2022,RA Jadeja,10,203,6,9,33.5,1.5,0.2660098522167488,33.833333333333336
2022,RD Chahar,13,290,14,21,48.2,1.5,0.43448275862068964,20.714285714285715
2022,RP Meredith,8,181,10,26,30.1,2.6,0.861878453038674,18.1
2022,Ramandeep Singh,3,41,6,6,6.5,1.0,0.8780487804878049,6.833333333333333
2022,Rashid Khan,16,386,20,14,64.2,0.7,0.21761658031088085,19.3
2022,Rasikh Salam,2,24,0,0,4.0,0.0,0.0,0.0
2022,Ravi Bishnoi,14,340,14,22,56.4,1.5714285714285714,0.38823529411764707,24.285714285714285
2022,S Dube,2,14,0,6,2.2,0.0,2.571428571428571,0.0
2022,S Gopal,1,18,1,0,3.0,0.0,0.0,18.0
2022,S Kaul,1,24,0,0,4.0,0.0,0.0,0.0
2022,SA Abbott,1,27,1,3,4.3,3.0,0.6666666666666666,27.0
2022,SN Thakur,14,315,16,42,52.3,2.625,0.8,19.6875
2022,SP Narine,14,342,10,14,57.0,1.4,0.24561403508771928,34.2
2022,SS Iyer,1,6,0,0,1.0,0.0,0.0,0.0
2022,Sandeep Sharma,5,126,3,10,21.0,3.3333333333333335,0.47619047619047616,42.0
2022,Shahbaz Ahmed,14,220,4,15,36.4,3.75,0.4090909090909091,55.0
2022,Shashank Singh,2,13,0,1,2.1,0.0,0.46153846153846156,0.0
2022,Shivam Mavi,6,142,5,12,23.4,2.4,0.5070422535211268,28.4
2022,Simarjeet Singh,6,113,4,14,18.5,3.5,0.7433628318584071,28.25
2022,T Natarajan,11,272,20,23,45.2,1.15,0.5073529411764706,13.6
2022,TA Boult,16,387,18,28,64.3,1.5555555555555556,0.43410852713178294,21.5
2022,TG Southee,9,220,16,19,36.4,1.1875,0.5181818181818182,13.75
2022,TS Mills,5,107,6,8,17.5,1.3333333333333333,0.44859813084112155,17.833333333333332
2022,TU Deshpande,2,43,1,5,7.1,5.0,0.6976744186046512,43.0
2022,Tilak Varma,2,12,0,0,2.0,0.0,0.0,0.0
2022,UT Yadav,12,297,16,24,49.3,1.5,0.48484848484848486,18.5625
2022,Umran Malik,14,313,23,37,52.1,1.608695652173913,0.7092651757188498,13.608695652173912
2022,V Shankar,2,10,1,1,1.4,1.0,0.6,10.0
2022,VG Arora,5,110,4,4,18.2,1.0,0.2181818181818182,27.5
2022,VR Aaron,2,33,2,4,5.3,2.0,0.7272727272727273,16.5
2022,VR Iyer,4,24,0,0,4.0,0.0,0.0,0.0
2022,Washington Sundar,8,170,6,3,28.2,0.5,0.10588235294117647,28.333333333333332
2022,YBK Jaiswal,1,1,0,0,0.1,0.0,0.0,0.0
2022,YS Chahal,17,429,29,30,71.3,1.0344827586206897,0.4195804195804196,14.793103448275861
2022,Yash Dayal,9,205,13,13,34.1,1.0,0.3804878048780488,15.76923076923077
2023,A Badoni,1,1,0,0,0.1,0.0,0.0,0.0
2023,A Mishra,7,115,7,3,19.1,0.42857142857142855,0.15652173913043477,16.428571428571427
2023,A Nortje,10,251,11,17,41.5,1.5454545454545454,0.40637450199203184,22.818181818181817
2023,A Zampa,6,133,9,3,22.1,0.3333333333333333,0.13533834586466165,14.777777777777779
2023,AD Russell,9,99,7,9,16.3,1.2857142857142858,0.5454545454545454,14.142857142857142
2023,AJ Hosein,1,24,1,1,4.0,1.0,0.25,24.0
2023,AK Markram,6,49,1,1,8.1,1.0,0.12244897959183675,49.0
2023,AR Patel,13,288,11,16,48.0,1.4545454545454546,0.3333333333333333,26.181818181818183
2023,AS Joseph,7,150,7,7,25.0,1.0,0.28,21.428571428571427
2023,AS Roy,3,51,3,3,8.3,1.0,0.35294117647058826,17.0
2023,AU Rashid,2,42,2,0,7.0,0.0,0.0,21.0
2023,Abhishek Sharma,5,75,2,6,12.3,3.0,0.48,37.5
2023,Akash Deep,2,33,1,7,5.3,7.0,1.2727272727272727,33.0
2023,Akash Madhwal,8,160,16,10,26.4,0.625,0.375,10.0
2023,Akash Singh,6,117,5,3,19.3,0.6,0.15384615384615385,23.4
2023,Arjun Tendulkar,4,68,4,12,11.2,3.0,1.0588235294117647,17.0
2023,Arshad Khan,6,97,5,16,16.1,3.2,0.9896907216494845,19.4
2023,Arshdeep Singh,14,324,18,23,54.0,1.2777777777777777,0.42592592592592593,18.0
2023,Avesh Khan,9,176,8,10,29.2,1.25,0.34090909090909094,22.0
2023,B Kumar,14,319,19,24,53.1,1.263157894736842,0.45141065830721006,16.789473684210527
